item,sentence,sentence_type,group,adverb,word,seen_in_training,target_response
26,The [obj] has usually been blorked by the [subj].,perfect passive,red_yellow,usually,strawberry,True,[subj]
27,The [obj] seems to have always been blorked by the [subj].,raising perfect passive,red_yellow,always,strawberry,True,[subj]
28,It is the [obj] that has often been blorked by the [subj].,cleft subject perfect passive,red_yellow,often,strawberry,True,[subj]
29,The [obj] hasn't typically been blorked by the [subj].,neg perfect passive,red_yellow,typically,strawberry,True,[subj]
30,It is the [obj] that seems to have usually been blorked by the [subj].,cleft subject raising perfect passive,red_yellow,usually,strawberry,True,[subj]
31,The [subj] has usually blorked the [obj].,perfect transitive,red_yellow,usually,tomato,True,[subj]
32,The [subj] seems to have always blorked the [obj].,raising perfect transitive,red_yellow,always,tomato,True,[subj]
33,It is the [subj] that has often blorked the [obj].,cleft subject perfect transitive,red_yellow,often,tomato,True,[subj]
34,The [subj] hasn't typically blorked the [obj].,neg perfect transitive,red_yellow,typically,tomato,True,[subj]
35,It is the [subj] that seems to have usually blorked the [obj].,cleft subject raising perfect transitive,red_yellow,usually,tomato,True,[subj]
36,The [obj] has always been blorked by the [subj].,perfect passive,red_yellow,always,tomato,True,[subj]
37,The [obj] seems to have often been blorked by the [subj].,raising perfect passive,red_yellow,often,tomato,True,[subj]
38,It is the [obj] that has typically been blorked by the [subj].,cleft subject perfect passive,red_yellow,typically,tomato,True,[subj]
39,The [obj] hasn't usually been blorked by the [subj].,neg perfect passive,red_yellow,usually,tomato,True,[subj]
40,It is the [obj] that seems to have always been blorked by the [subj].,cleft subject raising perfect passive,red_yellow,always,tomato,True,[subj]
41,The [subj] has always blorked the [obj].,perfect transitive,red_yellow,always,blood,False,[subj]
42,The [subj] seems to have often blorked the [obj].,raising perfect transitive,red_yellow,often,blood,False,[subj]
43,It is the [subj] that has typically blorked the [obj].,cleft subject perfect transitive,red_yellow,typically,blood,False,[subj]
44,The [subj] hasn't usually blorked the [obj].,neg perfect transitive,red_yellow,usually,blood,False,[subj]
45,It is the [subj] that seems to have always blorked the [obj].,cleft subject raising perfect transitive,red_yellow,always,blood,False,[subj]
46,The [obj] has often been blorked by the [subj].,perfect passive,red_yellow,often,blood,False,[subj]
47,The [obj] seems to have typically been blorked by the [subj].,raising perfect passive,red_yellow,typically,blood,False,[subj]
48,It is the [obj] that has usually been blorked by the [subj].,cleft subject perfect passive,red_yellow,usually,blood,False,[subj]
49,The [obj] hasn't always been blorked by the [subj].,neg perfect passive,red_yellow,always,blood,False,[subj]
50,It is the [obj] that seems to have often been blorked by the [subj].,cleft subject raising perfect passive,red_yellow,often,blood,False,[subj]
51,The [subj] has often blorked the [obj].,perfect transitive,red_yellow,often,ruby,False,[subj]
52,The [subj] seems to have typically blorked the [obj].,raising perfect transitive,red_yellow,typically,ruby,False,[subj]
53,It is the [subj] that has usually blorked the [obj].,cleft subject perfect transitive,red_yellow,usually,ruby,False,[subj]
54,The [subj] hasn't always blorked the [obj].,neg perfect transitive,red_yellow,always,ruby,False,[subj]
55,It is the [subj] that seems to have often blorked the [obj].,cleft subject raising perfect transitive,red_yellow,often,ruby,False,[subj]
56,The [obj] has typically been blorked by the [subj].,perfect passive,red_yellow,typically,ruby,False,[subj]
57,The [obj] seems to have usually been blorked by the [subj].,raising perfect passive,red_yellow,usually,ruby,False,[subj]
58,It is the [obj] that has always been blorked by the [subj].,cleft subject perfect passive,red_yellow,always,ruby,False,[subj]
59,The [obj] hasn't often been blorked by the [subj].,neg perfect passive,red_yellow,often,ruby,False,[subj]
60,It is the [obj] that seems to have typically been blorked by the [subj].,cleft subject raising perfect passive,red_yellow,typically,ruby,False,[subj]
61,The [subj] has typically blorked the [obj].,perfect transitive,red_yellow,typically,banana,True,[obj]
62,The [subj] seems to have usually blorked the [obj].,raising perfect transitive,red_yellow,usually,banana,True,[obj]
63,It is the [subj] that has always blorked the [obj].,cleft subject perfect transitive,red_yellow,always,banana,True,[obj]
64,The [subj] hasn't often blorked the [obj].,neg perfect transitive,red_yellow,often,banana,True,[obj]
65,It is the [subj] that seems to have typically blorked the [obj].,cleft subject raising perfect transitive,red_yellow,typically,banana,True,[obj]
66,The [obj] has usually been blorked by the [subj].,perfect passive,red_yellow,usually,banana,True,[obj]
67,The [obj] seems to have always been blorked by the [subj].,raising perfect passive,red_yellow,always,banana,True,[obj]
68,It is the [obj] that has often been blorked by the [subj].,cleft subject perfect passive,red_yellow,often,banana,True,[obj]
69,The [obj] hasn't typically been blorked by the [subj].,neg perfect passive,red_yellow,typically,banana,True,[obj]
70,It is the [obj] that seems to have usually been blorked by the [subj].,cleft subject raising perfect passive,red_yellow,usually,banana,True,[obj]
71,The [subj] has usually blorked the [obj].,perfect transitive,red_yellow,usually,corn,True,[obj]
72,The [subj] seems to have always blorked the [obj].,raising perfect transitive,red_yellow,always,corn,True,[obj]
73,It is the [subj] that has often blorked the [obj].,cleft subject perfect transitive,red_yellow,often,corn,True,[obj]
74,The [subj] hasn't typically blorked the [obj].,neg perfect transitive,red_yellow,typically,corn,True,[obj]
75,It is the [subj] that seems to have usually blorked the [obj].,cleft subject raising perfect transitive,red_yellow,usually,corn,True,[obj]
76,The [obj] has always been blorked by the [subj].,perfect passive,red_yellow,always,corn,True,[obj]
77,The [obj] seems to have often been blorked by the [subj].,raising perfect passive,red_yellow,often,corn,True,[obj]
78,It is the [obj] that has typically been blorked by the [subj].,cleft subject perfect passive,red_yellow,typically,corn,True,[obj]
79,The [obj] hasn't usually been blorked by the [subj].,neg perfect passive,red_yellow,usually,corn,True,[obj]
80,It is the [obj] that seems to have always been blorked by the [subj].,cleft subject raising perfect passive,red_yellow,always,corn,True,[obj]
81,The [subj] has always blorked the [obj].,perfect transitive,red_yellow,always,lemon,True,[obj]
82,The [subj] seems to have often blorked the [obj].,raising perfect transitive,red_yellow,often,lemon,True,[obj]
83,It is the [subj] that has typically blorked the [obj].,cleft subject perfect transitive,red_yellow,typically,lemon,True,[obj]
84,The [subj] hasn't usually blorked the [obj].,neg perfect transitive,red_yellow,usually,lemon,True,[obj]
85,It is the [subj] that seems to have always blorked the [obj].,cleft subject raising perfect transitive,red_yellow,always,lemon,True,[obj]
86,The [obj] has often been blorked by the [subj].,perfect passive,red_yellow,often,lemon,True,[obj]
87,The [obj] seems to have typically been blorked by the [subj].,raising perfect passive,red_yellow,typically,lemon,True,[obj]
88,It is the [obj] that has usually been blorked by the [subj].,cleft subject perfect passive,red_yellow,usually,lemon,True,[obj]
89,The [obj] hasn't always been blorked by the [subj].,neg perfect passive,red_yellow,always,lemon,True,[obj]
90,It is the [obj] that seems to have often been blorked by the [subj].,cleft subject raising perfect passive,red_yellow,often,lemon,True,[obj]
91,The [subj] has often blorked the [obj].,perfect transitive,red_yellow,often,lion,True,[obj]
92,The [subj] seems to have typically blorked the [obj].,raising perfect transitive,red_yellow,typically,lion,True,[obj]
93,It is the [subj] that has usually blorked the [obj].,cleft subject perfect transitive,red_yellow,usually,lion,True,[obj]
94,The [subj] hasn't always blorked the [obj].,neg perfect transitive,red_yellow,always,lion,True,[obj]
95,It is the [subj] that seems to have often blorked the [obj].,cleft subject raising perfect transitive,red_yellow,often,lion,True,[obj]
96,The [obj] has typically been blorked by the [subj].,perfect passive,red_yellow,typically,lion,True,[obj]
97,The [obj] seems to have usually been blorked by the [subj].,raising perfect passive,red_yellow,usually,lion,True,[obj]
98,It is the [obj] that has always been blorked by the [subj].,cleft subject perfect passive,red_yellow,always,lion,True,[obj]
99,The [obj] hasn't often been blorked by the [subj].,neg perfect passive,red_yellow,often,lion,True,[obj]
100,It is the [obj] that seems to have typically been blorked by the [subj].,cleft subject raising perfect passive,red_yellow,typically,lion,True,[obj]
101,The [subj] has typically blorked the [obj].,perfect transitive,red_yellow,typically,gold,False,[obj]
102,The [subj] seems to have usually blorked the [obj].,raising perfect transitive,red_yellow,usually,gold,False,[obj]
103,It is the [subj] that has always blorked the [obj].,cleft subject perfect transitive,red_yellow,always,gold,False,[obj]
104,The [subj] hasn't often blorked the [obj].,neg perfect transitive,red_yellow,often,gold,False,[obj]
105,It is the [subj] that seems to have typically blorked the [obj].,cleft subject raising perfect transitive,red_yellow,typically,gold,False,[obj]
106,The [obj] has usually been blorked by the [subj].,perfect passive,red_yellow,usually,gold,False,[obj]
107,The [obj] seems to have always been blorked by the [subj].,raising perfect passive,red_yellow,always,gold,False,[obj]
108,It is the [obj] that has often been blorked by the [subj].,cleft subject perfect passive,red_yellow,often,gold,False,[obj]
109,The [obj] hasn't typically been blorked by the [subj].,neg perfect passive,red_yellow,typically,gold,False,[obj]
110,It is the [obj] that seems to have usually been blorked by the [subj].,cleft subject raising perfect passive,red_yellow,usually,gold,False,[obj]
111,The [subj] has usually blorked the [obj].,perfect transitive,red_yellow,usually,honey,False,[obj]
112,The [subj] seems to have always blorked the [obj].,raising perfect transitive,red_yellow,always,honey,False,[obj]
113,It is the [subj] that has often blorked the [obj].,cleft subject perfect transitive,red_yellow,often,honey,False,[obj]
114,The [subj] hasn't typically blorked the [obj].,neg perfect transitive,red_yellow,typically,honey,False,[obj]
115,It is the [subj] that seems to have usually blorked the [obj].,cleft subject raising perfect transitive,red_yellow,usually,honey,False,[obj]
116,The [obj] has always been blorked by the [subj].,perfect passive,red_yellow,always,honey,False,[obj]
117,The [obj] seems to have often been blorked by the [subj].,raising perfect passive,red_yellow,often,honey,False,[obj]
118,It is the [obj] that has typically been blorked by the [subj].,cleft subject perfect passive,red_yellow,typically,honey,False,[obj]
119,The [obj] hasn't usually been blorked by the [subj].,neg perfect passive,red_yellow,usually,honey,False,[obj]
120,It is the [obj] that seems to have always been blorked by the [subj].,cleft subject raising perfect passive,red_yellow,always,honey,False,[obj]
1,The [subj] has always blorked the [obj].,perfect transitive,vehicles_buildings,always,bike,True,[subj]
2,The [subj] seems to have often blorked the [obj].,raising perfect transitive,vehicles_buildings,often,bike,True,[subj]
3,It is the [subj] that has typically blorked the [obj].,cleft subject perfect transitive,vehicles_buildings,typically,bike,True,[subj]
4,The [subj] hasn't usually blorked the [obj].,neg perfect transitive,vehicles_buildings,usually,bike,True,[subj]
5,It is the [subj] that seems to have always blorked the [obj].,cleft subject raising perfect transitive,vehicles_buildings,always,bike,True,[subj]
6,The [obj] has often been blorked by the [subj].,perfect passive,vehicles_buildings,often,bike,True,[subj]
7,The [obj] seems to have typically been blorked by the [subj].,raising perfect passive,vehicles_buildings,typically,bike,True,[subj]
8,It is the [obj] that has usually been blorked by the [subj].,cleft subject perfect passive,vehicles_buildings,usually,bike,True,[subj]
9,The [obj] hasn't always been blorked by the [subj].,neg perfect passive,vehicles_buildings,always,bike,True,[subj]
10,It is the [obj] that seems to have often been blorked by the [subj].,cleft subject raising perfect passive,vehicles_buildings,often,bike,True,[subj]
11,The [subj] has often blorked the [obj].,perfect transitive,vehicles_buildings,often,car,True,[subj]
12,The [subj] seems to have typically blorked the [obj].,raising perfect transitive,vehicles_buildings,typically,car,True,[subj]
13,It is the [subj] that has usually blorked the [obj].,cleft subject perfect transitive,vehicles_buildings,usually,car,True,[subj]
14,The [subj] hasn't always blorked the [obj].,neg perfect transitive,vehicles_buildings,always,car,True,[subj]
15,It is the [subj] that seems to have often blorked the [obj].,cleft subject raising perfect transitive,vehicles_buildings,often,car,True,[subj]
16,The [obj] has typically been blorked by the [subj].,perfect passive,vehicles_buildings,typically,car,True,[subj]
17,The [obj] seems to have usually been blorked by the [subj].,raising perfect passive,vehicles_buildings,usually,car,True,[subj]
18,It is the [obj] that has always been blorked by the [subj].,cleft subject perfect passive,vehicles_buildings,always,car,True,[subj]
19,The [obj] hasn't often been blorked by the [subj].,neg perfect passive,vehicles_buildings,often,car,True,[subj]
20,It is the [obj] that seems to have typically been blorked by the [subj].,cleft subject raising perfect passive,vehicles_buildings,typically,car,True,[subj]
21,The [subj] has typically blorked the [obj].,perfect transitive,vehicles_buildings,typically,motorcycle,True,[subj]
22,The [subj] seems to have usually blorked the [obj].,raising perfect transitive,vehicles_buildings,usually,motorcycle,True,[subj]
23,It is the [subj] that has always blorked the [obj].,cleft subject perfect transitive,vehicles_buildings,always,motorcycle,True,[subj]
24,The [subj] hasn't often blorked the [obj].,neg perfect transitive,vehicles_buildings,often,motorcycle,True,[subj]
25,It is the [subj] that seems to have typically blorked the [obj].,cleft subject raising perfect transitive,vehicles_buildings,typically,motorcycle,True,[subj]
26,The [obj] has usually been blorked by the [subj].,perfect passive,vehicles_buildings,usually,motorcycle,True,[subj]
27,The [obj] seems to have always been blorked by the [subj].,raising perfect passive,vehicles_buildings,always,motorcycle,True,[subj]
28,It is the [obj] that has often been blorked by the [subj].,cleft subject perfect passive,vehicles_buildings,often,motorcycle,True,[subj]
29,The [obj] hasn't typically been blorked by the [subj].,neg perfect passive,vehicles_buildings,typically,motorcycle,True,[subj]
30,It is the [obj] that seems to have usually been blorked by the [subj].,cleft subject raising perfect passive,vehicles_buildings,usually,motorcycle,True,[subj]
31,The [subj] has usually blorked the [obj].,perfect transitive,vehicles_buildings,usually,train,True,[subj]
32,The [subj] seems to have always blorked the [obj].,raising perfect transitive,vehicles_buildings,always,train,True,[subj]
33,It is the [subj] that has often blorked the [obj].,cleft subject perfect transitive,vehicles_buildings,often,train,True,[subj]
34,The [subj] hasn't typically blorked the [obj].,neg perfect transitive,vehicles_buildings,typically,train,True,[subj]
35,It is the [subj] that seems to have usually blorked the [obj].,cleft subject raising perfect transitive,vehicles_buildings,usually,train,True,[subj]
36,The [obj] has always been blorked by the [subj].,perfect passive,vehicles_buildings,always,train,True,[subj]
37,The [obj] seems to have often been blorked by the [subj].,raising perfect passive,vehicles_buildings,often,train,True,[subj]
38,It is the [obj] that has typically been blorked by the [subj].,cleft subject perfect passive,vehicles_buildings,typically,train,True,[subj]
39,The [obj] hasn't usually been blorked by the [subj].,neg perfect passive,vehicles_buildings,usually,train,True,[subj]
40,It is the [obj] that seems to have always been blorked by the [subj].,cleft subject raising perfect passive,vehicles_buildings,always,train,True,[subj]
41,The [subj] has always blorked the [obj].,perfect transitive,vehicles_buildings,always,bus,False,[subj]
42,The [subj] seems to have often blorked the [obj].,raising perfect transitive,vehicles_buildings,often,bus,False,[subj]
43,It is the [subj] that has typically blorked the [obj].,cleft subject perfect transitive,vehicles_buildings,typically,bus,False,[subj]
44,The [subj] hasn't usually blorked the [obj].,neg perfect transitive,vehicles_buildings,usually,bus,False,[subj]
45,It is the [subj] that seems to have always blorked the [obj].,cleft subject raising perfect transitive,vehicles_buildings,always,bus,False,[subj]
46,The [obj] has often been blorked by the [subj].,perfect passive,vehicles_buildings,often,bus,False,[subj]
47,The [obj] seems to have typically been blorked by the [subj].,raising perfect passive,vehicles_buildings,typically,bus,False,[subj]
48,It is the [obj] that has usually been blorked by the [subj].,cleft subject perfect passive,vehicles_buildings,usually,bus,False,[subj]
49,The [obj] hasn't always been blorked by the [subj].,neg perfect passive,vehicles_buildings,always,bus,False,[subj]
50,It is the [obj] that seems to have often been blorked by the [subj].,cleft subject raising perfect passive,vehicles_buildings,often,bus,False,[subj]
51,The [subj] has often blorked the [obj].,perfect transitive,vehicles_buildings,often,truck,False,[subj]
52,The [subj] seems to have typically blorked the [obj].,raising perfect transitive,vehicles_buildings,typically,truck,False,[subj]
53,It is the [subj] that has usually blorked the [obj].,cleft subject perfect transitive,vehicles_buildings,usually,truck,False,[subj]
54,The [subj] hasn't always blorked the [obj].,neg perfect transitive,vehicles_buildings,always,truck,False,[subj]
55,It is the [subj] that seems to have often blorked the [obj].,cleft subject raising perfect transitive,vehicles_buildings,often,truck,False,[subj]
56,The [obj] has typically been blorked by the [subj].,perfect passive,vehicles_buildings,typically,truck,False,[subj]
57,The [obj] seems to have usually been blorked by the [subj].,raising perfect passive,vehicles_buildings,usually,truck,False,[subj]
58,It is the [obj] that has always been blorked by the [subj].,cleft subject perfect passive,vehicles_buildings,always,truck,False,[subj]
59,The [obj] hasn't often been blorked by the [subj].,neg perfect passive,vehicles_buildings,often,truck,False,[subj]
60,It is the [obj] that seems to have typically been blorked by the [subj].,cleft subject raising perfect passive,vehicles_buildings,typically,truck,False,[subj]
61,The [subj] has typically blorked the [obj].,perfect transitive,vehicles_buildings,typically,apartment,True,[obj]
62,The [subj] seems to have usually blorked the [obj].,raising perfect transitive,vehicles_buildings,usually,apartment,True,[obj]
63,It is the [subj] that has always blorked the [obj].,cleft subject perfect transitive,vehicles_buildings,always,apartment,True,[obj]
64,The [subj] hasn't often blorked the [obj].,neg perfect transitive,vehicles_buildings,often,apartment,True,[obj]
65,It is the [subj] that seems to have typically blorked the [obj].,cleft subject raising perfect transitive,vehicles_buildings,typically,apartment,True,[obj]
66,The [obj] has usually been blorked by the [subj].,perfect passive,vehicles_buildings,usually,apartment,True,[obj]
67,The [obj] seems to have always been blorked by the [subj].,raising perfect passive,vehicles_buildings,always,apartment,True,[obj]
68,It is the [obj] that has often been blorked by the [subj].,cleft subject perfect passive,vehicles_buildings,often,apartment,True,[obj]
69,The [obj] hasn't typically been blorked by the [subj].,neg perfect passive,vehicles_buildings,typically,apartment,True,[obj]
70,It is the [obj] that seems to have usually been blorked by the [subj].,cleft subject raising perfect passive,vehicles_buildings,usually,apartment,True,[obj]
71,The [subj] has usually blorked the [obj].,perfect transitive,vehicles_buildings,usually,building,True,[obj]
72,The [subj] seems to have always blorked the [obj].,raising perfect transitive,vehicles_buildings,always,building,True,[obj]
73,It is the [subj] that has often blorked the [obj].,cleft subject perfect transitive,vehicles_buildings,often,building,True,[obj]
74,The [subj] hasn't typically blorked the [obj].,neg perfect transitive,vehicles_buildings,typically,building,True,[obj]
75,It is the [subj] that seems to have usually blorked the [obj].,cleft subject raising perfect transitive,vehicles_buildings,usually,building,True,[obj]
76,The [obj] has always been blorked by the [subj].,perfect passive,vehicles_buildings,always,building,True,[obj]
77,The [obj] seems to have often been blorked by the [subj].,raising perfect passive,vehicles_buildings,often,building,True,[obj]
78,It is the [obj] that has typically been blorked by the [subj].,cleft subject perfect passive,vehicles_buildings,typically,building,True,[obj]
79,The [obj] hasn't usually been blorked by the [subj].,neg perfect passive,vehicles_buildings,usually,building,True,[obj]
80,It is the [obj] that seems to have always been blorked by the [subj].,cleft subject raising perfect passive,vehicles_buildings,always,building,True,[obj]
81,The [subj] has always blorked the [obj].,perfect transitive,vehicles_buildings,always,house,True,[obj]
82,The [subj] seems to have often blorked the [obj].,raising perfect transitive,vehicles_buildings,often,house,True,[obj]
83,It is the [subj] that has typically blorked the [obj].,cleft subject perfect transitive,vehicles_buildings,typically,house,True,[obj]
84,The [subj] hasn't usually blorked the [obj].,neg perfect transitive,vehicles_buildings,usually,house,True,[obj]
85,It is the [subj] that seems to have always blorked the [obj].,cleft subject raising perfect transitive,vehicles_buildings,always,house,True,[obj]
86,The [obj] has often been blorked by the [subj].,perfect passive,vehicles_buildings,often,house,True,[obj]
87,The [obj] seems to have typically been blorked by the [subj].,raising perfect passive,vehicles_buildings,typically,house,True,[obj]
88,It is the [obj] that has usually been blorked by the [subj].,cleft subject perfect passive,vehicles_buildings,usually,house,True,[obj]
89,The [obj] hasn't always been blorked by the [subj].,neg perfect passive,vehicles_buildings,always,house,True,[obj]
90,It is the [obj] that seems to have often been blorked by the [subj].,cleft subject raising perfect passive,vehicles_buildings,often,house,True,[obj]
91,The [subj] has often blorked the [obj].,perfect transitive,vehicles_buildings,often,tent,True,[obj]
92,The [subj] seems to have typically blorked the [obj].,raising perfect transitive,vehicles_buildings,typically,tent,True,[obj]
93,It is the [subj] that has usually blorked the [obj].,cleft subject perfect transitive,vehicles_buildings,usually,tent,True,[obj]
94,The [subj] hasn't always blorked the [obj].,neg perfect transitive,vehicles_buildings,always,tent,True,[obj]
95,It is the [subj] that seems to have often blorked the [obj].,cleft subject raising perfect transitive,vehicles_buildings,often,tent,True,[obj]
96,The [obj] has typically been blorked by the [subj].,perfect passive,vehicles_buildings,typically,tent,True,[obj]
97,The [obj] seems to have usually been blorked by the [subj].,raising perfect passive,vehicles_buildings,usually,tent,True,[obj]
98,It is the [obj] that has always been blorked by the [subj].,cleft subject perfect passive,vehicles_buildings,always,tent,True,[obj]
99,The [obj] hasn't often been blorked by the [subj].,neg perfect passive,vehicles_buildings,often,tent,True,[obj]
100,It is the [obj] that seems to have typically been blorked by the [subj].,cleft subject raising perfect passive,vehicles_buildings,typically,tent,True,[obj]
101,The [subj] has typically blorked the [obj].,perfect transitive,vehicles_buildings,typically,church,False,[obj]
102,The [subj] seems to have usually blorked the [obj].,raising perfect transitive,vehicles_buildings,usually,church,False,[obj]
103,It is the [subj] that has always blorked the [obj].,cleft subject perfect transitive,vehicles_buildings,always,church,False,[obj]
104,The [subj] hasn't often blorked the [obj].,neg perfect transitive,vehicles_buildings,often,church,False,[obj]
105,It is the [subj] that seems to have typically blorked the [obj].,cleft subject raising perfect transitive,vehicles_buildings,typically,church,False,[obj]
106,The [obj] has usually been blorked by the [subj].,perfect passive,vehicles_buildings,usually,church,False,[obj]
107,The [obj] seems to have always been blorked by the [subj].,raising perfect passive,vehicles_buildings,always,church,False,[obj]
108,It is the [obj] that has often been blorked by the [subj].,cleft subject perfect passive,vehicles_buildings,often,church,False,[obj]
109,The [obj] hasn't typically been blorked by the [subj].,neg perfect passive,vehicles_buildings,typically,church,False,[obj]
110,It is the [obj] that seems to have usually been blorked by the [subj].,cleft subject raising perfect passive,vehicles_buildings,usually,church,False,[obj]
111,The [subj] has usually blorked the [obj].,perfect transitive,vehicles_buildings,usually,store,False,[obj]
112,The [subj] seems to have always blorked the [obj].,raising perfect transitive,vehicles_buildings,always,store,False,[obj]
113,It is the [subj] that has often blorked the [obj].,cleft subject perfect transitive,vehicles_buildings,often,store,False,[obj]
114,The [subj] hasn't typically blorked the [obj].,neg perfect transitive,vehicles_buildings,typically,store,False,[obj]
115,It is the [subj] that seems to have usually blorked the [obj].,cleft subject raising perfect transitive,vehicles_buildings,usually,store,False,[obj]
116,The [obj] has always been blorked by the [subj].,perfect passive,vehicles_buildings,always,store,False,[obj]
117,The [obj] seems to have often been blorked by the [subj].,raising perfect passive,vehicles_buildings,often,store,False,[obj]
118,It is the [obj] that has typically been blorked by the [subj].,cleft subject perfect passive,vehicles_buildings,typically,store,False,[obj]
119,The [obj] hasn't usually been blorked by the [subj].,neg perfect passive,vehicles_buildings,usually,store,False,[obj]
120,It is the [obj] that seems to have always been blorked by the [subj].,cleft subject raising perfect passive,vehicles_buildings,always,store,False,[obj]
